date,value,classification,total_pnl,avg_pnl_per_trade,trade_count
2025-01-14,63,Greed,16069.512355,58.43459038181818,275
2025-01-15,70,Greed,14819.5883,55.50407602996255,267
2025-01-16,75,Extreme Greed,20807.709328,56.08546988679245,371
2025-01-17,75,Extreme Greed,7006.415608,29.43872104201681,238
2025-01-18,77,Extreme Greed,443.2330819999997,0.6808495883256523,651
2025-01-19,77,Extreme Greed,87923.799302,56.10963580216975,1567
2025-01-20,76,Extreme Greed,87277.239173,66.37052408593155,1315
2025-01-21,76,Extreme Greed,11077.839421,20.901583813207548,530
2025-01-22,84,Extreme Greed,20524.408057,24.66875968389423,832
2025-01-23,75,Extreme Greed,101256.24216,83.13320374384236,1218
2025-01-24,75,Extreme Greed,10602.779738,12.131326931350113,874
2025-01-25,75,Extreme Greed,-10348.016255999999,-20.450625011857706,506
2025-01-26,73,Greed,40823.466668,90.51766445232816,451
2025-01-27,71,Greed,41331.765392,53.469295461837,773
2025-01-28,72,Greed,17979.613973,36.103642516064255,498
2025-01-29,72,Greed,23421.01147,25.737375241758244,910
2025-01-30,70,Greed,23097.471385,21.64711470009372,1067
2025-01-31,76,Extreme Greed,35868.296773,35.303441705708664,1016
2025-02-01,68,Greed,32300.205017,50.946695610410096,634
2025-02-02,60,Greed,162854.759623,123.46835452843062,1319
2025-02-03,44,Fear,348871.326269,146.58459086932774,2380
2025-02-04,72,Greed,416876.88812,165.9541752070064,2512
2025-02-05,54,Neutral,56706.235562,43.721075992289904,1297
2025-02-06,49,Neutral,33803.799733,19.84955944392249,1703
2025-02-07,44,Fear,22450.002091,14.730972500656167,1524
2025-02-08,44,Fear,586.703253,1.0203534834782608,575
2025-02-09,46,Neutral,150551.829492,197.05736844502616,764
2025-02-10,43,Fear,63908.49465,71.88807047244094,889
2025-02-11,47,Neutral,-6093.784817,-7.186067001179245,848
2025-02-12,46,Neutral,19848.635032,19.251828353055284,1031
2025-02-13,50,Neutral,27829.534238,20.313528640875912,1370
2025-02-14,48,Neutral,213860.675308,129.22095184773414,1655
2025-02-15,50,Neutral,45042.92701,48.32932082618026,932
2025-02-16,54,Neutral,2369.478425,3.4794103157121876,681
2025-02-17,51,Neutral,1818.573295,1.9325964877789585,941
2025-02-18,47,Neutral,91204.672403,54.418062292959426,1676
2025-02-19,44,Fear,14985.794701,11.010870463629685,1361
2025-02-20,49,Neutral,46008.794102,22.867193887673956,2012
2025-02-21,55,Greed,119693.49395,63.904695114789114,1873
2025-02-22,49,Neutral,25278.704178,36.849423,686
2025-02-23,50,Neutral,10656.934251,20.494104328846156,520
2025-02-24,49,Neutral,38470.176242,6.850102607193732,5616
2025-02-25,25,Fear,204762.177034,32.782929400256165,6246
2025-02-26,21,Extreme Fear,63229.063129,53.76621014370748,1176
2025-02-27,10,Extreme Fear,-36525.167517,-41.039514064044944,890
2025-02-28,16,Extreme Fear,225628.108748,221.4211077016683,1019
2025-03-01,20,Extreme Fear,10596.108968,60.897177977011495,174
2025-03-02,26,Fear,66914.320708,125.77879832330827,532
2025-03-03,33,Fear,616413.032233,415.9332201302294,1482
2025-03-04,15,Extreme Fear,182075.566585,75.80165136761032,2402
2025-03-05,20,Extreme Fear,269328.365917,162.24600356445782,1660
2025-03-06,25,Fear,16101.125561,21.18569152763158,760
2025-03-07,34,Fear,150236.061627,58.86993010462382,2552
2025-03-08,28,Fear,24700.773359,46.69333338185255,529
2025-03-09,27,Fear,19773.457395,13.905384947257385,1422
2025-03-10,20,Extreme Fear,-10010.027269999999,-3.438690233596702,2911
2025-03-11,24,Extreme Fear,-76880.729036,-23.3964482763238,3286
2025-03-12,34,Fear,288105.984215,72.60735489289314,3968
2025-03-13,45,Neutral,14114.870873,14.672422944906446,962
2025-03-14,27,Fear,68646.160089,31.061610899999998,2210
2025-03-15,46,Neutral,78694.624572,301.51197154022987,261
2025-03-16,30,Fear,-7910.943544999999,-14.926308575471696,530
2025-03-17,32,Fear,26163.906513,28.439028818478263,920
2025-03-18,34,Fear,72322.788824,86.71797221103118,834
2025-03-19,32,Fear,29374.682341,18.222507655707197,1612
2025-03-20,49,Neutral,10246.859436,13.290349463035021,771
2025-03-21,31,Fear,6951.270374,9.958840077363897,698
2025-03-22,32,Fear,12498.535254,23.361748138317758,535
2025-03-23,30,Fear,14047.421585,31.425999071588368,447
2025-03-24,45,Neutral,107878.961301,105.04280555111977,1027
2025-03-25,46,Neutral,32030.90678,40.49419314791403,791
2025-03-26,47,Neutral,15802.167427,5.094186791424887,3102
2025-03-27,40,Fear,58825.359221,74.9367633388535,785
2025-03-28,44,Fear,21337.179335,29.30931227335165,728
2025-03-29,26,Fear,12098.872931,6.38800049155227,1894
2025-03-30,32,Fear,15795.11514,27.8083013028169,568
2025-03-31,34,Fear,6978.184557,14.097342539393939,495
2025-04-01,34,Fear,-2202.6622420000003,-11.472199177083334,192
2025-04-02,44,Fear,202212.740938,187.930056633829,1076
2025-04-03,25,Fear,-2365.961276,-1.353524757437071,1748
2025-04-04,28,Fear,-25515.678949999998,-20.05949602987421,1272
2025-04-05,30,Fear,35907.33771,99.74260475,360
2025-04-06,34,Fear,47053.449272,44.89832945801527,1048
2025-04-07,23,Extreme Fear,34527.370305,12.269854408315563,2814
2025-04-08,24,Extreme Fear,34899.394798,37.00890222481442,943
